,Company_link,company_name,flag
582,/company/BEPL,BEPL,1
585,/company/BBL,BBL,1
586,/company/BDL,BDL,1
587,/company/BEL,BEL,1
588,/company/BHARATFORG,BHARATFORG,1
589,/company/BHARATGEAR,BHARATGEAR,1
590,/company/BHEL,BHEL,1
595,/company/BPCL,BPCL,1
596,/company/BHARATRAS,BHARATRAS,1
597,/company/BRNL,BRNL,1
600,/company/BHARATWIRE,BHARATWIRE,1
601,/company/BGLOBAL,BGLOBAL,1
602,/company/BHARTIARTL,BHARTIARTL,1
604,/company/BIL,BIL,1
618,/company/BIGBLOC,BIGBLOC,1
620,/company/BIHARSPONG,BIHARSPONG,1
626,/company/BIKAJI,BIKAJI,1
629,/company/BIMETAL,BIMETAL,1
630,/company/BINANIIND,BINANIIND,1
637,/company/BIOCON,BIOCON,1
638,/company/BIOFILCHEM,BIOFILCHEM,1
642,/company/BIRLACABLE,BIRLACABLE,1
643,/company/BIRLACORPN,BIRLACORPN,1
645,/company/BIRLATYRE,BIRLATYRE,1
646,/company/BSOFT,BSOFT,1
650,/company/BKMINDST,BKMINDST,1
652,/company/BBOX,BBOX,1
654,/company/BLBLIMITED,BLBLIMITED,1
655,/company/BLISSGVS,BLISSGVS,1
660,/company/BLS,BLS,1
661,/company/BLUECHIP,BLUECHIP,1
664,/company/BLUECOAST,BLUECOAST,1
665,/company/BLUEDART,BLUEDART,1
667,/company/BLUEJET,BLUEJET,1
670,/company/BLUESTARCO,BLUESTARCO,1
678,/company/BODALCHEM,BODALCHEM,1
679,/company/BTML,BTML,1
680,/company/BODHTREE,BODHTREE,1
681,/company/BOHRAIND,BOHRAIND,1
682,/company/BBTC,BBTC,1
684,/company/BOMDYEING,BOMDYEING,1
685,/company/BMETRICS,BMETRICS,1
687,/company/BSHSL,BSHSL,1
694,/company/BOROLTD,BOROLTD,1
695,/company/BORORENEW,BORORENEW,1
696,/company/BOSCHLTD,BOSCHLTD,1
702,/company/BPL,BPL,1
706,/company/BCONCEPTS,BCONCEPTS,1
710,/company/BRIGADE,BRIGADE,1
711,/company/BRIGHTBROS,BRIGHTBROS,1
713,/company/BRIGHT,BRIGHT,1
714,/company/BCG,BCG,1
717,/company/BRITANNIA,BRITANNIA,1
719,/company/BROOKS,BROOKS,1
721,/company/BSE,BSE,1
